timestamp,realtime_power,cpu_power
2025-04-01 12:55:49,182,72.854101
2025-04-01 12:55:55,182,73.675972
2025-04-01 12:56:02,183,100.855102
2025-04-01 12:56:09,183,100.704192
2025-04-01 12:56:15,183,99.641944
2025-04-01 12:56:23,211,100.094161
2025-04-01 12:56:29,211,99.678547
2025-04-01 12:56:36,211,76.613588
2025-04-01 12:56:42,211,75.406970
2025-04-01 12:56:49,182,101.504821
2025-04-01 12:56:56,182,102.626692
2025-04-01 12:57:02,182,101.827689
2025-04-01 12:57:08,182,101.786891
2025-04-01 12:57:14,214,102.887217
2025-04-01 12:57:20,214,102.927296
2025-04-01 12:57:26,214,103.931352
2025-04-01 12:57:32,214,102.685414
2025-04-01 12:57:38,211,102.080246
2025-04-01 12:57:44,211,75.602871
2025-04-01 12:57:50,211,74.812814
2025-04-01 12:57:56,211,75.175669
2025-04-01 12:58:02,177,104.808139
2025-04-01 12:58:08,177,103.989108
2025-04-01 12:58:14,177,104.938530
2025-04-01 12:58:21,177,104.585062
2025-04-01 12:58:27,217,104.707531
2025-04-01 12:58:33,217,104.598234
2025-04-01 12:58:39,217,104.682886
2025-04-01 12:58:46,217,105.184247
2025-04-01 12:58:53,217,105.514443
